0x562a3c3b7149, 4000, , , , , , , , , , , , , , , , , , , , , , 
0x562a3c3b7134, 4000, , , , , , , , , , , , , , , , , , , , , , 
0x562a3c3b7129, 4000, , , , , , , , , , , , , , , , , , , , , , 
0x562a3c3b7146, 4000, , , , , , , , , , , , , , , , , , , , , , 
0x562a3c3b715b, 4000, , , , , , , , , , , , , , , , , , , , , , 
0x562a3c3b7186, 4000, 3996, 4, , , , , , , , , , , , , , , , , , , , 
0x562a3c3b717c, 4000, , , , , , , , , , , , , , , , , , , , , , 
0x7fcae7f05180, 1274, 1225, 49, , , , , , , , , , , , , , , , , , , , 
0x7fcae7f05138, 1225, 0, 1225, , , , , , , , , , , , , , , , , , , , 
0x7fcae7f0513e, 1225, 784, 441, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef92f0, 1212, 0, 1212, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef92ff, 1212, 0, 1212, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef9309, 1212, 1210, 2, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef7118, 1180, 1091, 89, , , , , , , , , , , , , , , , , , , , 
0x7fcae7f050b8, 547, 0, 547, , , , , , , , , , , , , , , , , , , , 
0x7fcae7f050cb, 547, 499, 48, , , , , , , , , , , , , , , , , , , , 
0x7fcae7f05160, 463, 441, 22, , , , , , , , , , , , , , , , , , , , 
0x7fcae7f05147, 441, 441, 0, , , , , , , , , , , , , , , , , , , , 
0x7fcae7f05174, 441, 441, 0, , , , , , , , , , , , , , , , , , , , 
0x7fcae7eff725, 286, , , , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef653a, 184, 0, 184, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef65db, 184, 0, 184, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef657a, 184, 85, 99, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef6530, 184, 0, 184, , , , , , , , , , , , , , , , , , , , 
0x7fcae7ef65e4, 184, 184, 0, , , , , , , , , , , , , , , , , , , , 
